"","species","province","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","ECO_NAME","geometry","Group","crop"
"1","Abies amabilis","British Columbia",1,"UBC","",55.1,-127.4,"Canada","Least concern","NA0518","S.E. Alaska - B.C. Coastal Forest And Mountains",c(-127.4, 55.1),"Trees","Fir"
"2","Abies amabilis","British Columbia",2,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"3","Abies amabilis","British Columbia",3,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"4","Abies amabilis","British Columbia",4,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"5","Abies amabilis","British Columbia",5,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"6","Abies amabilis","British Columbia",6,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"7","Abies amabilis","British Columbia",7,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"8","Abies amabilis","British Columbia",8,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"9","Abies amabilis","British Columbia",9,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"10","Abies amabilis","British Columbia",10,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"11","Abies amabilis","British Columbia",11,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"12","Abies amabilis","British Columbia",12,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
"13","Abies amabilis","British Columbia",14,"UBC","",49.48356,-123.56923,"Canada","Least concern","NA0514","North Cascades",c(-123.56923, 49.48356),"Trees","Fir"
"14","Abies amabilis","British Columbia",15,"UBC","",49.203055,-121.863333,"Canada","Least concern","NA0517","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests",c(-121.863333, 49.203055),"Trees","Fir"
